epoch,train_loss,iou,dice,f1,epoch_time,throughput
118,0.1156,0.5549,0.7092,0.7092,26.5740,4.0641
119,0.1148,0.5588,0.7123,0.7123,26.6243,4.0565
120,0.1134,0.5480,0.7029,0.7029,26.4429,4.0843
121,0.1124,0.5440,0.6995,0.6995,26.3169,4.1038
122,0.1122,0.5880,0.7372,0.7372,26.3063,4.1055
123,0.1118,0.5842,0.7345,0.7345,26.6280,4.0559
124,0.1114,0.5874,0.7368,0.7368,26.4265,4.0868
125,0.1110,0.5582,0.7122,0.7122,26.5769,4.0637
126,0.1110,0.5933,0.7418,0.7418,26.4027,4.0905
127,0.1101,0.5801,0.7305,0.7305,26.6524,4.0522
128,0.1098,0.5165,0.6747,0.6747,26.3554,4.0978
129,0.1096,0.5920,0.7404,0.7404,26.5077,4.0743
130,0.1101,0.5472,0.7026,0.7026,26.5660,4.0653
131,0.1104,0.5893,0.7381,0.7381,26.6636,4.0505
132,0.1096,0.5501,0.7048,0.7048,26.4166,4.0883
133,0.1089,0.5551,0.7088,0.7088,26.6104,4.0586
134,0.1085,0.5454,0.7012,0.7012,26.2742,4.1105
135,0.1079,0.5501,0.7042,0.7041,26.5948,4.0609
136,0.1066,0.4920,0.6528,0.6528,26.2393,4.1160
137,0.1059,0.5659,0.7184,0.7184,26.4528,4.0827
138,0.1048,0.5738,0.7254,0.7254,26.5721,4.0644
139,0.1042,0.5676,0.7199,0.7199,26.6027,4.0597
140,0.1039,0.5796,0.7303,0.7303,26.5791,4.0633
141,0.1040,0.5822,0.7325,0.7325,26.6593,4.0511
142,0.1035,0.5566,0.7113,0.7113,26.4404,4.0847
143,0.1034,0.5697,0.7214,0.7214,26.6623,4.0507
144,0.1034,0.5724,0.7241,0.7241,26.3773,4.0944
145,0.1023,0.5841,0.7336,0.7336,26.3401,4.1002
146,0.1023,0.5814,0.7317,0.7317,26.4452,4.0839
147,0.1020,0.5748,0.7268,0.7268,26.5115,4.0737
148,0.1020,0.5606,0.7144,0.7144,26.5123,4.0736
149,0.1020,0.5458,0.7016,0.7016,26.6181,4.0574
150,0.1019,0.5905,0.7393,0.7393,26.5282,4.0711
151,0.1012,0.5885,0.7381,0.7381,26.6051,4.0594
