epoch,train_loss,iou,dice,f1,epoch_time,throughput
118,0.3482,0.7296,0.8431,0.8431,22.9661,3.9188
119,0.3480,0.7397,0.8498,0.8498,23.1375,3.8898
120,0.3471,0.7308,0.8439,0.8439,23.4242,3.8422
121,0.3465,0.7318,0.8446,0.8446,23.1213,3.8925
122,0.3462,0.7530,0.8585,0.8585,23.0369,3.9068
123,0.3448,0.7206,0.8371,0.8371,23.1307,3.8909
124,0.3436,0.7416,0.8511,0.8511,22.9976,3.9135
125,0.3431,0.7243,0.8396,0.8396,23.1096,3.8945
126,0.3425,0.7464,0.8542,0.8542,22.8741,3.9346
127,0.3429,0.7406,0.8504,0.8504,22.9307,3.9249
128,0.3422,0.7290,0.8428,0.8428,23.1077,3.8948
129,0.3418,0.7284,0.8423,0.8423,23.2390,3.8728
130,0.3418,0.7426,0.8518,0.8518,23.1371,3.8899
131,0.3410,0.7393,0.8496,0.8496,22.9179,3.9271
132,0.3406,0.7296,0.8432,0.8432,23.2399,3.8727
133,0.3410,0.7310,0.8441,0.8440,23.1829,3.8822
134,0.3394,0.7394,0.8496,0.8496,23.1193,3.8929
135,0.3395,0.7459,0.8539,0.8539,23.0936,3.8972
136,0.3385,0.7470,0.8546,0.8546,23.0306,3.9078
137,0.3370,0.7407,0.8505,0.8505,22.9390,3.9234
138,0.3363,0.7148,0.8333,0.8333,23.1561,3.8867
139,0.3351,0.7245,0.8398,0.8398,23.2757,3.8667
140,0.3343,0.7364,0.8476,0.8476,23.0173,3.9101
141,0.3341,0.7398,0.8499,0.8499,22.9807,3.9163
142,0.3341,0.7500,0.8566,0.8566,23.0230,3.9091
143,0.3336,0.7552,0.8600,0.8600,23.2784,3.8662
144,0.3326,0.7466,0.8543,0.8543,23.0679,3.9015
145,0.3313,0.7538,0.8591,0.8591,23.0452,3.9054
146,0.3299,0.7292,0.8428,0.8428,23.0822,3.8991
147,0.3285,0.7374,0.8483,0.8483,23.2228,3.8755
148,0.3282,0.7350,0.8467,0.8467,23.1779,3.8830
149,0.3277,0.7553,0.8600,0.8600,23.2846,3.8652
150,0.3273,0.7380,0.8487,0.8487,22.9996,3.9131
151,0.3259,0.7365,0.8477,0.8477,23.1506,3.8876
152,0.3256,0.7567,0.8610,0.8610,23.0304,3.9079
153,0.3247,0.7369,0.8480,0.8480,23.0907,3.8977
154,0.3246,0.7271,0.8415,0.8415,22.9283,3.9253
155,0.3236,0.7323,0.8449,0.8449,22.9647,3.9191
156,0.3239,0.7418,0.8512,0.8512,23.3230,3.8588
157,0.3228,0.7337,0.8459,0.8459,23.2073,3.8781
