epoch,train_loss,iou,dice,f1,epoch_time,throughput
118,0.3448,0.7444,0.8531,0.8531,44.3494,2.0293
119,0.3439,0.7481,0.8555,0.8555,43.2366,2.0816
120,0.3435,0.7578,0.8618,0.8618,43.2411,2.0814
121,0.3414,0.7490,0.8561,0.8561,43.5826,2.0650
122,0.3415,0.7681,0.8684,0.8684,42.9964,2.0932
123,0.3403,0.7421,0.8516,0.8516,42.9231,2.0968
124,0.3400,0.7584,0.8621,0.8621,43.3507,2.0761
125,0.3405,0.7443,0.8530,0.8530,43.4535,2.0712
126,0.3388,0.7667,0.8675,0.8675,43.2645,2.0802
127,0.3378,0.7560,0.8606,0.8606,43.0423,2.0910
128,0.3365,0.7486,0.8558,0.8558,44.0334,2.0439
129,0.3358,0.7440,0.8528,0.8528,43.3161,2.0778
130,0.3354,0.7533,0.8588,0.8588,42.9478,2.0956
131,0.3341,0.7455,0.8538,0.8538,43.7954,2.0550
132,0.3340,0.7450,0.8534,0.8534,43.1881,2.0839
133,0.3335,0.7553,0.8602,0.8602,43.3754,2.0749
134,0.3340,0.7514,0.8577,0.8577,43.1983,2.0834
135,0.3330,0.7619,0.8644,0.8644,42.8938,2.0982
136,0.3326,0.7611,0.8639,0.8639,43.0622,2.0900
137,0.3320,0.7519,0.8579,0.8579,43.4549,2.0711
138,0.3313,0.7364,0.8478,0.8478,42.8711,2.0993
139,0.3300,0.7407,0.8507,0.8507,43.0286,2.0916
140,0.3293,0.7505,0.8570,0.8570,42.8206,2.1018
141,0.3285,0.7570,0.8612,0.8612,43.4102,2.0732
142,0.3275,0.7677,0.8682,0.8682,42.7554,2.1050
143,0.3272,0.7641,0.8659,0.8659,43.1889,2.0839
144,0.3264,0.7623,0.8647,0.8647,42.7202,2.1067
145,0.3254,0.7652,0.8666,0.8666,43.1223,2.0871
146,0.3247,0.7496,0.8565,0.8565,42.6765,2.1089
147,0.3239,0.7511,0.8575,0.8575,42.7899,2.1033
148,0.3232,0.7496,0.8565,0.8565,43.2044,2.0831
149,0.3235,0.7770,0.8741,0.8741,42.5769,2.1138
150,0.3237,0.7513,0.8575,0.8575,43.3937,2.0740
151,0.3230,0.7563,0.8608,0.8608,43.4332,2.0721
152,0.3221,0.7807,0.8764,0.8764,42.2363,2.1309
153,0.3228,0.7528,0.8586,0.8586,42.8748,2.0991
154,0.3238,0.7355,0.8472,0.8472,43.4694,2.0704
155,0.3221,0.7437,0.8526,0.8526,42.8148,2.1021
156,0.3200,0.7465,0.8545,0.8545,44.5428,2.0205
157,0.3202,0.7448,0.8533,0.8533,44.5937,2.0182
158,0.3183,0.7502,0.8568,0.8568,44.3024,2.0315
159,0.3170,0.7406,0.8506,0.8506,43.1331,2.0866
160,0.3161,0.7447,0.8532,0.8532,43.3481,2.0762
161,0.3156,0.7503,0.8569,0.8569,43.6551,2.0616
162,0.3151,0.7455,0.8537,0.8537,43.4570,2.0710
163,0.3145,0.7286,0.8426,0.8426,43.0836,2.0890
164,0.3137,0.7494,0.8563,0.8563,42.9781,2.0941
165,0.3130,0.7503,0.8569,0.8569,43.5804,2.0651
166,0.3122,0.7611,0.8639,0.8639,43.3188,2.0776
167,0.3119,0.7339,0.8462,0.8462,43.4750,2.0702
168,0.3128,0.7528,0.8585,0.8585,43.1809,2.0843
169,0.3155,0.7367,0.8480,0.8480,42.7676,2.1044
170,0.3199,0.7425,0.8519,0.8519,42.9403,2.0959
171,0.3176,0.7522,0.8581,0.8581,43.1073,2.0878
172,0.3183,0.7489,0.8560,0.8560,42.9980,2.0931
173,0.3172,0.7826,0.8776,0.8776,42.6417,2.1106
174,0.3161,0.7407,0.8507,0.8507,42.1910,2.1332
175,0.3123,0.7304,0.8439,0.8439,43.1003,2.0882
176,0.3099,0.7337,0.8461,0.8461,43.0606,2.0901
177,0.3087,0.7354,0.8471,0.8471,42.6773,2.1088
178,0.3081,0.7474,0.8550,0.8550,43.6016,2.0641
179,0.3067,0.7384,0.8492,0.8492,43.2381,2.0815
180,0.3065,0.7251,0.8403,0.8403,43.2678,2.0801
181,0.3056,0.7211,0.8376,0.8376,42.8059,2.1025
182,0.3052,0.7194,0.8365,0.8365,42.9639,2.0948
183,0.3043,0.7362,0.8477,0.8477,42.9811,2.0939
184,0.3044,0.7354,0.8472,0.8472,43.1924,2.0837
185,0.3036,0.7292,0.8430,0.8430,42.8174,2.1019
186,0.3032,0.7421,0.8516,0.8516,46.8808,1.9198
187,0.3032,0.7619,0.8644,0.8644,42.7185,2.1068
188,0.3024,0.7384,0.8492,0.8492,43.1918,2.0837
189,0.3019,0.7654,0.8667,0.8667,44.6309,2.0165
190,0.3012,0.7448,0.8534,0.8534,44.2956,2.0318
191,0.3009,0.7489,0.8560,0.8560,43.2346,2.0817
192,0.3001,0.7357,0.8473,0.8473,43.2306,2.0819
193,0.3001,0.7469,0.8547,0.8547,42.6748,2.1090
194,0.2997,0.7533,0.8588,0.8588,43.0235,2.0919
195,0.2986,0.7264,0.8412,0.8412,42.8026,2.1027
196,0.2985,0.7412,0.8510,0.8510,42.8974,2.0980
197,0.2981,0.7447,0.8533,0.8533,42.0849,2.1385
198,0.2979,0.7473,0.8550,0.8550,43.3100,2.0780
199,0.2975,0.7488,0.8559,0.8559,42.7169,2.1069
200,0.2973,0.7509,0.8573,0.8573,43.2249,2.0821
